date,num_trades,wins,losses,daily_pnl_usd,daily_pnl_pct,starting_balance,ending_balance
2025-09-20,2,0,2,-14.94,-1.49,1000.0,985.06
2025-09-21,1,1,0,66.47,6.75,985.06,1051.53
2025-09-22,2,1,1,88.06,8.37,1051.53,1139.58
2025-09-23,1,0,1,-8.55,-0.75,1139.58,1131.04
2025-09-24,1,0,1,-8.48,-0.75,1131.04,1122.55
2025-09-26,3,0,3,-25.07,-2.23,1122.55,1097.49
2025-09-27,1,0,1,-8.23,-0.75,1097.49,1089.25
2025-09-28,2,0,2,-16.28,-1.49,1089.25,1072.98
2025-09-30,2,1,1,13.78,1.28,1072.98,1086.75
2025-10-01,3,1,2,30.48,2.81,1086.75,1117.24
2025-10-02,1,0,1,-8.38,-0.75,1117.24,1108.86
2025-10-03,2,0,2,-16.57,-1.49,1108.86,1092.29
2025-10-05,3,0,3,-24.39,-2.23,1092.29,1067.89
2025-10-06,3,1,2,8.54,0.8,1067.89,1076.43
2025-10-08,2,0,2,-16.09,-1.49,1076.43,1060.35
2025-10-09,3,0,3,-23.68,-2.23,1060.35,1036.67
2025-10-10,3,1,2,-0.03,-0.0,1036.67,1036.64
2025-10-13,1,0,1,-7.77,-0.75,1036.64,1028.87
2025-10-16,1,1,0,20.73,2.01,1028.87,1049.6
2025-10-18,1,1,0,14.37,1.37,1049.6,1063.97
2025-10-19,1,1,0,14.68,1.38,1063.97,1078.64
2025-10-20,3,0,3,-24.09,-2.23,1078.64,1054.55
2025-10-21,3,0,3,-23.55,-2.23,1054.55,1031.0
2025-10-22,3,0,3,-23.02,-2.23,1031.0,1007.98
2025-10-23,1,0,1,-7.56,-0.75,1007.98,1000.42
2025-10-24,1,0,1,-7.5,-0.75,1000.42,992.92
2025-10-25,2,1,1,3.02,0.3,992.92,995.94
2025-10-26,3,1,2,5.93,0.6,995.94,1001.87
2025-10-27,1,1,0,4.6,0.46,1001.87,1006.47
2025-10-28,1,1,0,13.75,1.37,1006.47,1020.22
2025-10-30,1,0,1,-7.65,-0.75,1020.22,1012.57
2025-10-31,3,0,3,-22.61,-2.23,1012.57,989.95
2025-11-03,2,0,2,-14.79,-1.49,989.95,975.16
2025-11-04,1,0,1,-7.31,-0.75,975.16,967.85
2025-11-06,2,0,2,-14.46,-1.49,967.85,953.38
2025-11-07,2,1,1,13.99,1.47,953.38,967.37
2025-11-08,2,0,2,-14.46,-1.49,967.37,952.91
2025-11-09,1,1,0,13.62,1.43,952.91,966.54
2025-11-10,1,0,1,-7.25,-0.75,966.54,959.29
2025-11-11,2,0,2,-14.34,-1.49,959.29,944.95
2025-11-12,1,0,1,-7.09,-0.75,944.95,937.87
2025-11-15,1,0,1,-7.03,-0.75,937.87,930.83
2025-11-16,2,0,2,-13.91,-1.49,930.83,916.92
2025-11-17,2,2,0,62.24,6.79,916.92,979.16
2025-11-18,3,0,3,-21.87,-2.23,979.16,957.3
2025-11-19,2,2,0,38.04,3.97,957.3,995.33
2025-11-20,3,1,2,-1.33,-0.13,995.33,994.01
2025-11-22,1,1,0,24.1,2.42,994.01,1018.1
2025-11-23,2,0,2,-15.21,-1.49,1018.1,1002.89
2025-11-24,2,0,2,-14.99,-1.49,1002.89,987.9
2025-11-25,3,1,2,11.59,1.17,987.9,999.5
2025-11-26,1,1,0,9.34,0.93,999.5,1008.83
2025-11-27,2,1,1,4.53,0.45,1008.83,1013.36
2025-11-29,1,1,0,13.26,1.31,1013.36,1026.62
2025-12-01,3,0,3,-22.93,-2.23,1026.62,1003.69
2025-12-02,2,0,2,-15.0,-1.49,1003.69,988.7
2025-12-03,2,0,2,-14.77,-1.49,988.7,973.92
2025-12-09,1,1,0,9.29,0.95,973.92,983.21
2025-12-10,1,1,0,17.2,1.75,983.21,1000.41
2025-12-11,2,0,2,-14.95,-1.49,1000.41,985.46
2025-12-13,2,1,1,-2.26,-0.23,985.46,983.2
2025-12-15,2,1,1,2.91,0.3,983.2,986.11
2025-12-16,2,1,1,16.37,1.66,986.11,1002.48
2025-12-22,1,1,0,12.77,1.27,1002.48,1015.25
2025-12-23,1,1,0,15.01,1.48,1015.25,1030.25
2025-12-26,3,2,1,15.82,1.54,1030.25,1046.08
2025-12-29,1,0,1,-7.85,-0.75,1046.08,1038.23
2026-01-05,2,1,1,13.99,1.35,1038.23,1052.22
2026-01-12,1,1,0,9.76,0.93,1052.22,1061.98
2026-01-14,1,1,0,16.03,1.51,1061.98,1078.01
2026-01-19,3,0,3,-24.07,-2.23,1078.01,1053.94
2026-01-20,1,1,0,12.17,1.16,1053.94,1066.11
2026-01-21,1,0,1,-8.0,-0.75,1066.11,1058.12
2026-01-28,1,1,0,15.6,1.47,1058.12,1073.71
2026-01-29,1,0,1,-8.05,-0.75,1073.71,1065.66
2026-01-30,2,1,1,26.08,2.45,1065.66,1091.74
2026-02-01,1,0,1,-8.19,-0.75,1091.74,1083.55
2026-02-02,2,2,0,30.36,2.8,1083.55,1113.92
2026-02-06,2,0,2,-16.65,-1.49,1113.92,1097.27
2026-02-07,1,0,1,-8.23,-0.75,1097.27,1089.04
2026-02-08,1,0,1,-8.17,-0.75,1089.04,1080.87
2026-02-13,2,1,1,21.13,1.95,1080.87,1102.0
2026-02-15,1,1,0,18.61,1.69,1102.0,1120.61
2026-02-21,1,1,0,10.28,0.92,1120.61,1130.89
2026-02-23,2,1,1,16.75,1.48,1130.89,1147.65
2026-02-25,1,1,0,14.6,1.27,1147.65,1162.24
2026-02-26,1,0,1,-8.72,-0.75,1162.24,1153.53
2026-02-28,1,1,0,12.16,1.05,1153.53,1165.69
2026-03-01,1,0,1,-8.74,-0.75,1165.69,1156.95
2026-03-02,1,1,0,15.46,1.34,1156.95,1172.41
2026-03-06,1,1,0,11.4,0.97,1172.41,1183.81
2026-03-17,2,0,2,-17.69,-1.49,1183.81,1166.12
2026-03-18,3,1,2,8.85,0.76,1166.12,1174.98
2026-03-22,1,1,0,34.48,2.93,1174.98,1209.46
2026-04-08,2,1,1,-2.2,-0.18,1209.46,1207.25
2026-04-12,1,1,0,6.43,0.53,1207.25,1213.68
2026-04-14,1,1,0,10.82,0.89,1213.68,1224.5
2026-05-06,1,1,0,12.12,0.99,1224.5,1236.61
2026-05-09,1,0,1,-9.27,-0.75,1236.61,1227.34
2026-05-18,1,1,0,17.32,1.41,1227.34,1244.66
2026-05-21,1,1,0,19.46,1.56,1244.66,1264.12
2026-06-01,1,1,0,19.02,1.5,1264.12,1283.14
2026-06-04,2,1,1,27.09,2.11,1283.14,1310.23
2026-06-07,2,1,1,2.33,0.18,1310.23,1312.56
2026-06-09,1,1,0,10.38,0.79,1312.56,1322.94
2026-06-11,2,0,2,-19.77,-1.49,1322.94,1303.17
2026-07-12,2,1,1,1.35,0.1,1303.17,1304.52
