trade_num,date,balance,pnl,direction
0,,1000.0,0,
1,2025-09-20 05:45:00,992.5,-7.5,short
2,2025-09-20 06:00:00,985.06,-7.44,short
3,2025-09-21 07:15:00,1051.53,66.47,short
4,2025-09-22 07:30:00,1043.64,-7.89,long
5,2025-09-22 07:45:00,1139.58,95.94,long
6,2025-09-23 08:00:00,1131.04,-8.55,long
7,2025-09-24 08:15:00,1122.55,-8.48,short
8,2025-09-26 06:15:00,1114.13,-8.42,long
9,2025-09-26 07:30:00,1105.78,-8.36,long
10,2025-09-26 08:30:00,1097.49,-8.29,long
11,2025-09-27 07:45:00,1089.25,-8.23,short
12,2025-09-28 07:00:00,1081.09,-8.17,long
13,2025-09-28 07:15:00,1072.98,-8.11,long
14,2025-09-30 07:30:00,1064.93,-8.05,short
15,2025-09-30 08:15:00,1086.75,21.82,short
16,2025-10-01 05:30:00,1078.6,-8.15,long
17,2025-10-01 05:45:00,1070.51,-8.09,long
18,2025-10-01 06:00:00,1117.24,46.72,long
19,2025-10-02 09:00:00,1108.86,-8.38,short
20,2025-10-03 07:30:00,1100.54,-8.32,short
21,2025-10-03 07:45:00,1092.29,-8.25,short
22,2025-10-05 06:00:00,1084.09,-8.19,long
23,2025-10-05 07:30:00,1075.96,-8.13,long
24,2025-10-05 07:45:00,1067.89,-8.07,long
25,2025-10-06 07:15:00,1059.89,-8.01,short
26,2025-10-06 08:00:00,1051.94,-7.95,short
27,2025-10-06 08:15:00,1076.43,24.5,short
28,2025-10-08 08:15:00,1068.36,-8.07,long
29,2025-10-08 09:45:00,1060.35,-8.01,long
30,2025-10-09 05:45:00,1052.4,-7.95,long
31,2025-10-09 06:00:00,1044.5,-7.89,long
32,2025-10-09 06:15:00,1036.67,-7.83,long
33,2025-10-10 07:00:00,1052.37,15.7,short
34,2025-10-10 09:30:00,1044.48,-7.89,long
35,2025-10-10 09:45:00,1036.64,-7.83,long
36,2025-10-13 09:45:00,1028.87,-7.77,short
37,2025-10-16 05:45:00,1049.6,20.73,long
38,2025-10-18 08:00:00,1063.97,14.37,short
39,2025-10-19 09:45:00,1078.64,14.68,long
40,2025-10-20 07:00:00,1070.55,-8.09,long
41,2025-10-20 07:15:00,1062.52,-8.03,long
42,2025-10-20 07:30:00,1054.55,-7.97,long
43,2025-10-21 09:00:00,1046.64,-7.91,long
44,2025-10-21 09:30:00,1038.79,-7.85,long
45,2025-10-21 09:45:00,1031.0,-7.79,long
46,2025-10-22 05:30:00,1023.27,-7.73,long
47,2025-10-22 05:45:00,1015.6,-7.67,long
48,2025-10-22 06:15:00,1007.98,-7.62,long
49,2025-10-23 09:30:00,1000.42,-7.56,short
50,2025-10-24 07:00:00,992.92,-7.5,short
51,2025-10-25 08:45:00,985.47,-7.45,short
52,2025-10-25 09:15:00,995.94,10.47,short
53,2025-10-26 07:30:00,988.47,-7.47,short
54,2025-10-26 08:00:00,981.06,-7.41,short
55,2025-10-26 08:15:00,1001.87,20.82,short
56,2025-10-27 06:00:00,1006.47,4.6,short
57,2025-10-28 05:30:00,1020.22,13.75,long
58,2025-10-30 06:30:00,1012.57,-7.65,long
59,2025-10-31 06:30:00,1004.97,-7.59,short
60,2025-10-31 06:45:00,997.44,-7.54,short
61,2025-10-31 07:15:00,989.95,-7.48,short
62,2025-11-03 09:15:00,982.53,-7.42,long
63,2025-11-03 09:30:00,975.16,-7.37,long
64,2025-11-04 05:45:00,967.85,-7.31,long
65,2025-11-06 08:45:00,960.59,-7.26,short
66,2025-11-06 09:45:00,953.38,-7.2,short
67,2025-11-07 07:30:00,946.23,-7.15,short
68,2025-11-07 07:45:00,967.37,21.14,short
69,2025-11-08 07:45:00,960.11,-7.26,long
70,2025-11-08 09:45:00,952.91,-7.2,long
71,2025-11-09 05:45:00,966.54,13.62,short
72,2025-11-10 08:45:00,959.29,-7.25,short
73,2025-11-11 08:00:00,952.09,-7.19,short
74,2025-11-11 08:15:00,944.95,-7.14,short
75,2025-11-12 09:00:00,937.87,-7.09,short
76,2025-11-15 09:00:00,930.83,-7.03,short
77,2025-11-16 09:15:00,923.85,-6.98,short
78,2025-11-16 09:30:00,916.92,-6.93,short
79,2025-11-17 06:45:00,948.44,31.52,short
80,2025-11-17 07:30:00,979.16,30.72,short
81,2025-11-18 07:45:00,971.82,-7.34,short
82,2025-11-18 08:00:00,964.53,-7.29,short
83,2025-11-18 08:30:00,957.3,-7.23,short
84,2025-11-19 06:45:00,970.69,13.4,short
85,2025-11-19 08:15:00,995.33,24.64,short
86,2025-11-20 05:45:00,987.87,-7.46,short
87,2025-11-20 06:00:00,980.46,-7.41,short
