month,starting_balance,ending_balance,monthly_profit_usd,monthly_profit_pct,num_trades,win_rate,max_drawdown_usd,max_drawdown_pct
2025-09,1000.0,1086.75,86.76,8.68,15,20.0,154.52,13.56
2025-10,1086.75,989.95,-96.79,-8.91,46,21.7,127.29,11.39
2025-11,989.95,1026.62,36.67,3.7,39,30.8,109.7,10.69
2025-12,1026.62,1038.23,11.61,1.13,23,39.1,72.16,6.9
2026-01,1038.23,1091.74,53.51,5.15,13,46.2,53.51,4.9
2026-02,1091.74,1165.69,73.93,6.77,16,50.0,84.82,7.28
2026-03,1165.69,1209.46,43.76,3.75,9,44.4,52.51,4.34
2026-04,1209.46,1224.5,15.05,1.24,4,75.0,17.25,1.41
2026-05,1224.5,1264.12,39.63,3.24,4,75.0,39.62,3.13
2026-06,1264.12,1303.17,39.05,3.09,8,50.0,58.82,4.45
2026-07,1303.17,1304.52,1.35,0.1,2,50.0,1.35,0.1
