entry_time,exit_time,direction,entry_price,exit_price,entry_reason,exit_reason,pnl_usd,pnl_pct,duration_minutes,position_size_usd
2025-09-20 05:45:00,2025-09-20 06:00:00,short,0.8692,0.875719,Close (0.869200) > Upper BB (0.868176),Stop Loss hit (0.75%),-7.5,-3.0,15.0,1000.0
2025-09-20 06:00:00,2025-09-20 06:15:00,short,0.8819,0.888514,Close (0.881900) > Upper BB (0.879557),Stop Loss hit (0.75%),-7.4438,-3.0,15.0,992.5
2025-09-21 07:15:00,2025-09-21 07:30:00,short,1.7432,1.717052,Close (1.743200) > Upper BB (1.741620),Take Profit hit (1.50%),14.7758,6.0,15.0,985.06
2025-09-22 07:30:00,2025-09-22 07:45:00,long,1.322,1.312085,Close (1.322000) < Lower BB (1.358887),Stop Loss hit (0.75%),-7.4987,-3.0,15.0,999.83
2025-09-22 07:45:00,2025-09-22 08:00:00,long,1.3298,1.349747,Close (1.329800) < Lower BB (1.339380),Take Profit hit (1.50%),14.885,6.0,15.0,992.33
2025-09-23 08:00:00,2025-09-23 08:15:00,long,1.5014,1.49014,Close (1.501400) < Lower BB (1.506927),Stop Loss hit (0.75%),-7.5541,-3.0,15.0,1007.22
2025-09-24 08:15:00,2025-09-24 08:30:00,short,2.1096,2.077956,Close (2.109600) > Upper BB (2.095478),Take Profit hit (1.50%),14.995,6.0,15.0,999.66
2025-09-26 06:15:00,2025-09-26 06:30:00,long,1.8787,1.86461,Close (1.878700) < Lower BB (1.893365),Stop Loss hit (0.75%),-7.6099,-3.0,15.0,1014.66
2025-09-26 07:30:00,2025-09-26 07:45:00,long,1.827,1.813298,Close (1.827000) < Lower BB (1.843374),Stop Loss hit (0.75%),-7.5529,-3.0,15.0,1007.05
2025-09-26 08:30:00,2025-09-26 08:45:00,long,1.7756,1.762283,Close (1.775600) < Lower BB (1.784003),Stop Loss hit (0.75%),-7.4962,-3.0,15.0,999.5
2025-09-27 07:45:00,2025-09-27 08:00:00,short,2.0994,2.115146,Close (2.099400) > Upper BB (2.091413),Stop Loss hit (0.75%),-7.44,-3.0,15.0,992.0
2025-09-28 07:00:00,2025-09-28 07:15:00,long,1.8791,1.865007,Close (1.879100) < Lower BB (1.895059),Stop Loss hit (0.75%),-7.3842,-3.0,15.0,984.56
2025-09-28 07:15:00,2025-09-28 08:00:00,long,1.8797,1.865602,Close (1.879700) < Lower BB (1.886035),Stop Loss hit (0.75%),-7.3288,-3.0,45.0,977.18
2025-09-30 07:30:00,2025-09-30 07:45:00,short,1.9451,1.915924,Close (1.945100) > Upper BB (1.933283),Take Profit hit (1.50%),14.5477,6.0,15.0,969.85
2025-09-30 08:00:00,2025-09-30 08:15:00,short,1.9442,1.958782,Close (1.944200) > Upper BB (1.938348),Stop Loss hit (0.75%),-7.383,-3.0,15.0,984.39
2025-09-30 08:15:00,2025-09-30 08:45:00,short,1.9636,1.934146,Close (1.963600) > Upper BB (1.949923),Take Profit hit (1.50%),14.6552,6.0,30.0,977.01
2025-10-01 05:30:00,2025-10-01 05:45:00,long,1.5851,1.573212,Close (1.585100) < Lower BB (1.593799),Stop Loss hit (0.75%),-7.4375,-3.0,15.0,991.67
2025-10-01 05:45:00,2025-10-01 06:00:00,long,1.5624,1.550682,Close (1.562400) < Lower BB (1.578568),Stop Loss hit (0.75%),-7.3817,-3.0,15.0,984.23
2025-10-01 06:00:00,2025-10-01 06:15:00,long,1.5565,1.579847,Close (1.556500) < Lower BB (1.565029),Take Profit hit (1.50%),14.6527,6.0,15.0,976.85
2025-10-02 09:00:00,2025-10-02 09:30:00,short,1.6918,1.704488,Close (1.691800) > Upper BB (1.684222),Stop Loss hit (0.75%),-7.4363,-3.0,30.0,991.5
2025-10-03 07:30:00,2025-10-03 07:45:00,short,1.8221,1.835766,Close (1.822100) > Upper BB (1.821013),Stop Loss hit (0.75%),-7.3805,-3.0,15.0,984.06
2025-10-03 07:45:00,2025-10-03 08:00:00,short,1.8407,1.854505,Close (1.840700) > Upper BB (1.830428),Stop Loss hit (0.75%),-7.3251,-3.0,15.0,976.68
2025-10-05 06:00:00,2025-10-05 06:30:00,long,2.0318,2.062277,Close (2.031800) < Lower BB (2.038106),Take Profit hit (1.50%),14.5404,6.0,30.0,969.36
2025-10-05 07:30:00,2025-10-05 07:45:00,long,1.9639,1.949171,Close (1.963900) < Lower BB (1.985874),Stop Loss hit (0.75%),-7.3792,-3.0,15.0,983.9
2025-10-05 07:45:00,2025-10-05 08:15:00,long,1.9206,1.906196,Close (1.920600) < Lower BB (1.954325),Stop Loss hit (0.75%),-7.3239,-3.0,30.0,976.52
2025-10-06 07:15:00,2025-10-06 07:45:00,short,1.9013,1.91556,Close (1.901300) > Upper BB (1.887850),Stop Loss hit (0.75%),-7.269,-3.0,30.0,969.2
2025-10-06 08:00:00,2025-10-06 08:15:00,short,1.9137,1.928053,Close (1.913700) > Upper BB (1.912239),Stop Loss hit (0.75%),-7.2145,-3.0,15.0,961.93
2025-10-06 08:15:00,2025-10-06 08:30:00,short,1.9355,1.906468,Close (1.935500) > Upper BB (1.926907),Take Profit hit (1.50%),14.3207,6.0,15.0,954.71
2025-10-08 08:15:00,2025-10-08 08:30:00,long,2.0266,2.011401,Close (2.026600) < Lower BB (2.026995),Stop Loss hit (0.75%),-7.2677,-3.0,15.0,969.03
2025-10-08 09:45:00,2025-10-08 10:00:00,long,1.9805,1.965646,Close (1.980500) < Lower BB (1.988805),Stop Loss hit (0.75%),-7.2132,-3.0,15.0,961.77
2025-10-09 05:45:00,2025-10-09 06:00:00,long,1.9204,1.905997,Close (1.920400) < Lower BB (1.924966),Stop Loss hit (0.75%),-7.1591,-3.0,15.0,954.55
2025-10-09 06:00:00,2025-10-09 06:15:00,long,1.9172,1.902821,Close (1.917200) < Lower BB (1.917367),Stop Loss hit (0.75%),-7.1054,-3.0,15.0,947.39
