entry_time,entry_time_utc,entry_hour_local,exit_time,exit_time_utc,direction,entry_price,exit_price,entry_reason,exit_reason,pnl_usd,pnl_pct,duration_minutes,position_size_usd
2025-09-23 08:00:00,2025-09-23 01:00:00,8,2025-09-23 08:15:00,2025-09-23 01:15:00,long,1.5014,1.49014,"Close (1.501400) < Lower BB (1.506927), above EMA200 (1.457021)",Stop Loss hit (0.75%),-7.5,-3.0,15.0,1000.0
2025-10-02 09:00:00,2025-10-02 02:00:00,9,2025-10-02 09:30:00,2025-10-02 02:30:00,short,1.6918,1.704488,"Close (1.691800) > Upper BB (1.684222), below EMA200 (1.692547)",Stop Loss hit (0.75%),-7.4438,-3.0,30.0,992.5
2025-10-05 06:00:00,2025-10-04 23:00:00,6,2025-10-05 06:30:00,2025-10-04 23:30:00,long,2.0318,2.062277,"Close (2.031800) < Lower BB (2.038106), above EMA200 (2.006164)",Take Profit hit (1.50%),14.7758,6.0,30.0,985.06
2025-10-06 07:15:00,2025-10-06 00:15:00,7,2025-10-06 07:45:00,2025-10-06 00:45:00,short,1.9013,1.91556,"Close (1.901300) > Upper BB (1.887850), below EMA200 (1.943575)",Stop Loss hit (0.75%),-7.4987,-3.0,30.0,999.83
2025-10-06 08:00:00,2025-10-06 01:00:00,8,2025-10-06 08:15:00,2025-10-06 01:15:00,short,1.9137,1.928053,"Close (1.913700) > Upper BB (1.912239), below EMA200 (1.942322)",Stop Loss hit (0.75%),-7.4425,-3.0,15.0,992.33
2025-10-06 08:15:00,2025-10-06 01:15:00,8,2025-10-06 08:30:00,2025-10-06 01:30:00,short,1.9355,1.906468,"Close (1.935500) > Upper BB (1.926907), below EMA200 (1.942254)",Take Profit hit (1.50%),14.7734,6.0,15.0,984.89
2025-10-10 07:00:00,2025-10-10 00:00:00,7,2025-10-10 08:30:00,2025-10-10 01:30:00,short,1.7178,1.692033,"Close (1.717800) > Upper BB (1.713550), below EMA200 (1.846613)",Take Profit hit (1.50%),14.995,6.0,90.0,999.66
2025-10-18 08:00:00,2025-10-18 01:00:00,8,2025-10-18 09:00:00,2025-10-18 02:00:00,short,1.1795,1.188346,"Close (1.179500) > Upper BB (1.179381), below EMA200 (1.216185)",Stop Loss hit (0.75%),-7.6099,-3.0,60.0,1014.66
2025-10-21 07:30:00,2025-10-21 00:30:00,7,2025-10-21 08:00:00,2025-10-21 01:00:00,short,1.1721,1.154518,"Close (1.172100) > Upper BB (1.169882), below EMA200 (1.183935)",Take Profit hit (1.50%),15.1057,6.0,30.0,1007.05
2025-10-23 09:30:00,2025-10-23 02:30:00,9,2025-10-23 10:00:00,2025-10-23 03:00:00,short,0.9772,0.984529,"Close (0.977200) > Upper BB (0.975149), below EMA200 (1.042629)",Stop Loss hit (0.75%),-7.6662,-3.0,30.0,1022.15
2025-10-31 06:30:00,2025-10-30 23:30:00,6,2025-10-31 06:45:00,2025-10-30 23:45:00,short,0.9176,0.924482,"Close (0.917600) > Upper BB (0.908858), below EMA200 (0.991940)",Stop Loss hit (0.75%),-7.6087,-3.0,15.0,1014.49
2025-10-31 06:45:00,2025-10-30 23:45:00,6,2025-10-31 07:15:00,2025-10-31 00:15:00,short,0.9215,0.928411,"Close (0.921500) > Upper BB (0.915074), below EMA200 (0.991239)",Stop Loss hit (0.75%),-7.5516,-3.0,30.0,1006.88
2025-10-31 07:15:00,2025-10-31 00:15:00,7,2025-10-31 07:45:00,2025-10-31 00:45:00,short,0.9303,0.937277,"Close (0.930300) > Upper BB (0.927848), below EMA200 (0.989992)",Stop Loss hit (0.75%),-7.495,-3.0,30.0,999.33
2025-11-01 08:45:00,2025-11-01 01:45:00,8,2025-11-01 09:00:00,2025-11-01 02:00:00,long,0.9847,0.977315,"Close (0.984700) < Lower BB (0.985876), above EMA200 (0.979462)",Stop Loss hit (0.75%),-7.4388,-3.0,15.0,991.83
2025-11-03 09:15:00,2025-11-03 02:15:00,9,2025-11-03 09:30:00,2025-11-03 02:30:00,long,1.1299,1.121426,"Close (1.129900) < Lower BB (1.143000), above EMA200 (1.053125)",Stop Loss hit (0.75%),-7.383,-3.0,15.0,984.39
2025-11-03 09:30:00,2025-11-03 02:30:00,9,2025-11-03 10:00:00,2025-11-03 03:00:00,long,1.1118,1.103461,"Close (1.111800) < Lower BB (1.127879), above EMA200 (1.053708)",Stop Loss hit (0.75%),-7.3276,-3.0,30.0,977.01
2025-11-08 07:45:00,2025-11-08 00:45:00,7,2025-11-08 08:15:00,2025-11-08 01:15:00,long,1.0963,1.112744,"Close (1.096300) < Lower BB (1.104753), above EMA200 (1.055689)",Take Profit hit (1.50%),14.5453,6.0,30.0,969.68
2025-11-08 09:45:00,2025-11-08 02:45:00,9,2025-11-08 10:30:00,2025-11-08 03:30:00,long,1.0869,1.078748,"Close (1.086900) < Lower BB (1.087923), above EMA200 (1.059953)",Stop Loss hit (0.75%),-7.3817,-3.0,45.0,984.23
2025-11-09 05:45:00,2025-11-08 22:45:00,5,2025-11-09 07:00:00,2025-11-09 00:00:00,short,1.0485,1.032772,"Close (1.048500) > Upper BB (1.047428), below EMA200 (1.050298)",Take Profit hit (1.50%),14.6527,6.0,75.0,976.85
2025-11-16 07:15:00,2025-11-16 00:15:00,7,2025-11-16 09:15:00,2025-11-16 02:15:00,long,1.1142,1.130913,"Close (1.114200) < Lower BB (1.115160), above EMA200 (1.111434)",Take Profit hit (1.50%),14.8725,6.0,120.0,991.5
2025-11-23 08:30:00,2025-11-23 01:30:00,8,2025-11-23 09:00:00,2025-11-23 02:00:00,short,1.1937,1.202653,"Close (1.193700) > Upper BB (1.183366), below EMA200 (1.196470)",Stop Loss hit (0.75%),-7.5478,-3.0,30.0,1006.37
2025-11-23 09:00:00,2025-11-23 02:00:00,9,2025-11-23 11:00:00,2025-11-23 04:00:00,short,1.1944,1.203358,"Close (1.194400) > Upper BB (1.191340), below EMA200 (1.196333)",Stop Loss hit (0.75%),-7.4912,-3.0,120.0,998.83
2025-11-27 07:15:00,2025-11-27 00:15:00,7,2025-11-27 07:30:00,2025-11-27 00:30:00,short,1.1181,1.126486,"Close (1.118100) > Upper BB (1.117895), below EMA200 (1.127859)",Stop Loss hit (0.75%),-7.435,-3.0,15.0,991.33
2025-11-27 07:30:00,2025-11-27 00:30:00,7,2025-11-27 08:15:00,2025-11-27 01:15:00,short,1.1266,1.109701,"Close (1.126600) > Upper BB (1.122619), below EMA200 (1.127846)",Take Profit hit (1.50%),14.7585,6.0,45.0,983.9
2025-12-02 06:15:00,2025-12-01 23:15:00,6,2025-12-02 07:30:00,2025-12-02 00:30:00,short,0.9598,0.966999,"Close (0.959800) > Upper BB (0.959474), below EMA200 (1.002337)",Stop Loss hit (0.75%),-7.4899,-3.0,75.0,998.66
2025-12-02 07:45:00,2025-12-02 00:45:00,7,2025-12-02 08:00:00,2025-12-02 01:00:00,short,0.9672,0.974454,"Close (0.967200) > Upper BB (0.967067), below EMA200 (0.999833)",Stop Loss hit (0.75%),-7.4338,-3.0,15.0,991.17
2025-12-06 06:15:00,2025-12-05 23:15:00,6,2025-12-06 09:00:00,2025-12-06 02:00:00,short,1.0129,0.997706,"Close (1.012900) > Upper BB (1.012161), below EMA200 (1.029055)",Take Profit hit (1.50%),14.756,6.0,165.0,983.73
2025-12-15 08:30:00,2025-12-15 01:30:00,8,2025-12-15 09:00:00,2025-12-15 02:00:00,short,0.9392,0.946244,"Close (0.939200) > Upper BB (0.937221), below EMA200 (0.944324)",Stop Loss hit (0.75%),-7.4887,-3.0,30.0,998.49
2025-12-15 09:00:00,2025-12-15 02:00:00,9,2025-12-15 09:15:00,2025-12-15 02:15:00,short,0.9419,0.948964,"Close (0.941900) > Upper BB (0.941839), below EMA200 (0.944274)",Stop Loss hit (0.75%),-7.4325,-3.0,15.0,991.0
2025-12-16 09:45:00,2025-12-16 02:45:00,9,2025-12-16 11:00:00,2025-12-16 04:00:00,short,0.8258,0.831994,"Close (0.825800) > Upper BB (0.823242), below EMA200 (0.890497)",Stop Loss hit (0.75%),-7.3768,-3.0,75.0,983.57
2025-12-22 05:45:00,2025-12-21 22:45:00,5,2025-12-22 07:00:00,2025-12-22 00:00:00,short,0.7097,0.715023,"Close (0.709700) > Upper BB (0.708708), below EMA200 (0.713932)",Stop Loss hit (0.75%),-7.3214,-3.0,75.0,976.19
2025-12-30 06:00:00,2025-12-29 23:00:00,6,2025-12-30 12:45:00,2025-12-30 05:45:00,short,0.6965,0.701724,"Close (0.696500) > Upper BB (0.696132), below EMA200 (0.706575)",Stop Loss hit (0.75%),-7.2665,-3.0,405.0,968.87
2025-12-31 08:15:00,2025-12-31 01:15:00,8,2025-12-31 14:45:00,2025-12-31 07:45:00,short,0.6923,0.697492,"Close (0.692300) > Upper BB (0.691054), below EMA200 (0.696897)",Stop Loss hit (0.75%),-7.212,-3.0,390.0,961.6
2026-01-04 08:30:00,2026-01-04 01:30:00,8,2026-01-04 11:15:00,2026-01-04 04:15:00,long,0.7413,0.752419,"Close (0.741300) < Lower BB (0.741335), above EMA200 (0.735825)",Take Profit hit (1.50%),14.3159,6.0,165.0,954.39
2026-01-06 07:30:00,2026-01-06 00:30:00,7,2026-01-06 08:00:00,2026-01-06 01:00:00,long,0.7696,0.781144,"Close (0.769600) < Lower BB (0.769927), above EMA200 (0.764707)",Take Profit hit (1.50%),14.5306,6.0,30.0,968.71
2026-01-08 07:45:00,2026-01-08 00:45:00,7,2026-01-08 09:15:00,2026-01-08 02:15:00,short,0.7436,0.749177,"Close (0.743600) > Upper BB (0.743264), below EMA200 (0.758684)",Stop Loss hit (0.75%),-7.3743,-3.0,90.0,983.24
2026-01-13 09:00:00,2026-01-13 02:00:00,9,2026-01-13 12:00:00,2026-01-13 05:00:00,short,0.6925,0.697694,"Close (0.692500) > Upper BB (0.692029), below EMA200 (0.705805)",Stop Loss hit (0.75%),-7.319,-3.0,180.0,975.86
2026-01-15 09:00:00,2026-01-15 02:00:00,9,2026-01-15 09:30:00,2026-01-15 02:30:00,long,0.7342,0.728694,"Close (0.734200) < Lower BB (0.735144), above EMA200 (0.732854)",Stop Loss hit (0.75%),-7.2641,-3.0,30.0,968.55
2026-01-20 09:45:00,2026-01-20 02:45:00,9,2026-01-20 12:00:00,2026-01-20 05:00:00,short,0.626,0.61661,"Close (0.626000) > Upper BB (0.625979), below EMA200 (0.655597)",Take Profit hit (1.50%),14.4192,6.0,135.0,961.28
2026-01-21 08:00:00,2026-01-21 01:00:00,8,2026-01-21 11:15:00,2026-01-21 04:15:00,short,0.5893,0.59372,"Close (0.589300) > Upper BB (0.587793), below EMA200 (0.619488)",Stop Loss hit (0.75%),-7.3178,-3.0,195.0,975.7
2026-01-25 08:30:00,2026-01-25 01:30:00,8,2026-01-25 10:30:00,2026-01-25 03:30:00,long,0.6547,0.64979,"Close (0.654700) < Lower BB (0.655859), above EMA200 (0.643650)",Stop Loss hit (0.75%),-7.2629,-3.0,120.0,968.38
2026-01-26 08:00:00,2026-01-26 01:00:00,8,2026-01-26 13:45:00,2026-01-26 06:45:00,short,0.6097,0.614273,"Close (0.609700) > Upper BB (0.608941), below EMA200 (0.631918)",Stop Loss hit (0.75%),-7.2084,-3.0,345.0,961.12
2026-02-01 07:00:00,2026-02-01 00:00:00,7,2026-02-01 09:30:00,2026-02-01 02:30:00,short,0.5529,0.557047,"Close (0.552900) > Upper BB (0.552288), below EMA200 (0.586966)",Stop Loss hit (0.75%),-7.1543,-3.0,150.0,953.91
2026-02-02 07:15:00,2026-02-02 00:15:00,7,2026-02-02 08:00:00,2026-02-02 01:00:00,short,0.5457,0.537514,"Close (0.545700) > Upper BB (0.544202), below EMA200 (0.560678)",Take Profit hit (1.50%),14.2014,6.0,45.0,946.76
2026-02-02 08:15:00,2026-02-02 01:15:00,8,2026-02-02 09:45:00,2026-02-02 02:45:00,short,0.5491,0.540864,"Close (0.549100) > Upper BB (0.547881), below EMA200 (0.560034)",Take Profit hit (1.50%),14.4144,6.0,90.0,960.96
2026-02-14 09:45:00,2026-02-14 02:45:00,9,2026-02-14 10:00:00,2026-02-14 03:00:00,long,0.7196,0.714203,"Close (0.719600) < Lower BB (0.719994), above EMA200 (0.711216)",Stop Loss hit (0.75%),-7.3153,-3.0,15.0,975.37
2026-02-15 07:30:00,2026-02-15 00:30:00,7,2026-02-15 08:15:00,2026-02-15 01:15:00,long,0.7217,0.716287,"Close (0.721700) < Lower BB (0.722429), above EMA200 (0.718332)",Stop Loss hit (0.75%),-7.2604,-3.0,45.0,968.06
2026-02-19 08:45:00,2026-02-19 01:45:00,8,2026-02-19 12:30:00,2026-02-19 05:30:00,short,0.7085,0.697872,"Close (0.708500) > Upper BB (0.708206), below EMA200 (0.710422)",Take Profit hit (1.50%),14.412,6.0,225.0,960.8
2026-02-26 06:30:00,2026-02-25 23:30:00,6,2026-02-26 09:00:00,2026-02-26 02:00:00,long,0.7034,0.698124,"Close (0.703400) < Lower BB (0.706347), above EMA200 (0.702933)",Stop Loss hit (0.75%),-7.3141,-3.0,150.0,975.21
